Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
scream 4,533026,1070890,Wes Craven,Etats-Unis,Horreur,2011-04-13,Moins de 12 ans,SND,,,0,5,2,,Courteney Cox
resident evil,533300,1105943,Paul W.S. Anderson,Etats-Unis,Aventure - Action,2002-04-03,Moins de 12 ans,Metropolitan,,,0,5,2,Milla Jovovich,
gainsbourg - (vie héroïque),511713,1199451,,France,Comédie dramatique,2010-01-20,Tous publics,Universal,,,0,5,3,,Yolande Moreau
matrix resurrections,513133,972644,Wachowski (brothers),Etats-Unis,Science Fiction,2021-12-22,Tous publics,Warner Bros.,,,0,5,3,"Carrie-Anne Moss, Keanu Reeves",Lambert Wilson
casse-tête chinois,513407,1536489,Cédric Klapisch,France,Comédie,2013-12-04,Tous publics,Studiocanal,,,0,6,3,"Cécile De France, Romain Duris, Audrey Tautou",
la nuit au musée : le secret des pharaons,501154,1576649,Shawn Levy,Etats-Unis,Film familial,2015-02-04,Tous publics,20th Century Fox,,,0,5,2,Ben Stiller,"Robin Williams, Owen Wilson, Rebel Wilson"
j'accuse,501228,1567306,Roman Polanski,France,Drame,2019-11-13,Tous publics,Gaumont,,,1,6,1,"Jean Dujardin, Emmanuelle Seigner","Mathieu Amalric, Vincent Perez, Denis Podalydès, Melvil Poupaud"
tigre et dragon,501743,1806197,Ang Lee,Chine,Aventure - Action,2000-10-04,Tous publics,Warner Bros.,,,0,6,2,Yun-Fat Chow,
les femmes du 6e étage,502481,2213187,,France,Comédie,2011-02-16,Tous publics,SND,,,0,9,3,"Sandrine Kiberlain, Fabrice Luchini",
sully,505048,1178535,Clint Eastwood,Etats-Unis,Drame,2016-11-30,Tous publics,Warner Bros.,,,0,5,3,Tom Hanks,Aaron Eckhart
"tanguy, le retour",486634,1027447,Etienne Chatiliez,France,Comédie,2019-04-10,Tous publics,SND,,,1,6,1,"Sabine Azéma, André Dussollier",
alvin et les chipmunks - a fond la caisse,488106,1799931,,Etats-Unis,Film familial,2016-02-03,Tous publics,20th Century Fox,,,0,5,3,,
mauvais esprit,489107,1106439,,France,Comédie,2003-11-05,Tous publics,Pathé,,,0,5,3,Thierry Lhermitte,
jack reacher 2,489442,926882,Edward Zwick,Etats-Unis,Thriller,2016-10-19,Tous publics,Paramount,,,0,3,4,Tom Cruise,
panic room,475014,1324402,David Fincher,Etats-Unis,Aventure - Action,2002-04-24,Moins de 12 ans,Columbia,,,1,6,1,"Jodie Foster, Jared Leto, Kristen Stewart, Forest Whitaker",
tron l'héritage,475032,1215956,Joseph Kosinski,Etats-Unis,Science Fiction,2011-02-09,Tous publics,Walt Disney Pictures,,,0,4,4,Jeff Bridges,
divergente,475291,1492110,,Etats-Unis,Science Fiction,2014-04-09,Tous publics,SND,,,0,7,3,,Kate Winslet
l'immortel,475510,1129959,Richard Berry,France,Thriller,2010-03-24,Moins de 12 ans,EuropaCorp,,,0,5,3,"Marina Foïs, Kad Merad, Jean Reno","Richard Berry, Jean-Pierre Darroussin"
john carter,475960,1021013,Andrew Stanton,Etats-Unis,Science Fiction,2012-03-07,Tous publics,Walt Disney Pictures,,,0,4,2,,"Bryan Cranston, Willem Dafoe"
pentagon papers,476134,1338048,Steven Spielberg,Etats-Unis,Drame,2018-01-24,Tous publics,Universal,,,1,5,1,"Tom Hanks, Meryl Streep",
joyeuse retraite !,477116,1259687,,France,Comédie,2019-11-20,Tous publics,SND,,,0,6,3,"Michèle Laroque, Thierry Lhermitte",
traffic,477351,1938732,Steven Soderbergh,Etats-Unis,Drame,2001-03-07,Tous publics,Bac Films,,,0,9,2,"Michael Douglas, Benicio Del Toro, Catherine Zeta Jones","Don Cheadle, Dennis Quaid"
get out,465265,1145664,,Etats-Unis,Horreur,2017-05-03,Moins de 12 ans,Universal,,,0,8,2,,
scooby-doo 2: les monstres se déchaînent,465406,1393180,Raja Gosnell,Etats-Unis,Film familial,2004-04-07,Tous publics,Warner Bros.,,,0,7,3,Sarah Michelle Gellar,
prédictions,465607,1401915,Alex Proyas,Etats-Unis,Science Fiction,2009-04-01,Tous publics,SND,,,0,6,2,Nicolas Cage,Rose Byrne
la pat’ patrouille - le film,459566,1458977,,Etats-Unis,Animation,2021-08-11,Tous publics,Paramount,,,1,9,1,,
le renard et l'enfant,466488,2499137,Luc Jacquet,France,Film familial,2007-12-12,Tous publics,Walt Disney Pictures,,,0,7,2,,
drive,467609,1580623,,Etats-Unis,Aventure - Action,2011-10-05,Moins de 12 ans,Le Pacte,,,0,7,2,Ryan Gosling,"Bryan Cranston, Ron Perlman"
la première étoile,456914,1647603,Jean-Baptiste Lucien,France,Comédie,2009-03-25,Tous publics,Mars Distribution,,,0,9,2,Jean-Baptiste Lucien,
le prince oublié,457031,921200,Michel Hazanavicius,France,Film familial,2020-02-12,Tous publics,Pathé,,,0,4,2,"Bérénice Bejo, François Damiens, Omar Sy",
un secret,458730,1691907,Claude Miller,France,Drame,2007-10-03,Tous publics,UGC Distribution,,,2,5,1,"Patrick Bruel, Cécile De France, Ludivine Sagnier","Mathieu Amalric, Julie Depardieu"
chronicle,458842,1020366,,Etats-Unis,Fantasy,2012-02-22,Tous publics,20th Century Fox,,,1,5,1,Michael B. Jordan,
poly,458929,604853,Nicolas Vanier,France,Film familial,2020-10-21,Tous publics,SND,,,0,3,4,François Cluzet,Patrick Timsit
resident evil: apocalypse,459152,990268,,Etats-Unis,Aventure - Action,2004-10-06,Moins de 12 ans,Metropolitan,,,0,4,2,Milla Jovovich,
hotel transylvanie 2,459772,2301547,,Etats-Unis,Animation,2015-10-07,Tous publics,Sony Pictures,,,0,8,2,,
la marche de l'empereur,447512,1913682,Luc Jacquet,France,Documentaire,2005-01-26,Tous publics,Walt Disney Pictures,,,0,7,2,,
ong bak,440495,967824,,Thaïlande,Aventure - Action,2004-04-07,Moins de 12 ans,EuropaCorp,,,0,4,5,,
mr-73,448334,909949,Olivier Marchal,France,Thriller,2008-03-12,Moins de 12 ans,Gaumont,,,0,3,3,Daniel Auteuil,
le chant du loup,448755,1548510,,France,Drame,2019-02-20,Tous publics,Pathé,,,0,8,4,"François Civil, Mathieu Kassovitz, Reda Kateb, Omar Sy",
godzilla x kong : le nouvel empire,442704,1182733,,Etats-Unis,Fantasy,2024-04-03,Tous publics,Warner Bros.,,,1,6,1,,
incognito,450026,1250138,,France,Comédie,2009-04-29,Tous publics,Pathé,,,0,6,2,Franck Dubosc,"François Damiens, Yolande Moreau"
shazam!,442839,1075884,,Etats-Unis,Comicbook,2019-04-03,Tous publics,Warner Bros.,,,0,5,2,,
xxx : reactivated,450091,927991,D.J. Caruso,Etats-Unis,Aventure - Action,2017-01-18,Tous publics,Paramount,,,0,4,2,Vin Diesel,"Toni Collette, Ice Cube, Samuel L. Jackson"
le transporteur 2,440512,1230444,Louis Leterrier,France,Aventure - Action,2005-08-03,Tous publics,EuropaCorp,,,0,6,2,Jason Statham,François Berléand
time out,441450,1099016,Andrew Niccol,Etats-Unis,Science Fiction,2011-11-23,Tous publics,20th Century Fox,,,0,6,3,Justin Timberlake,Cillian Murphy
o'brother,442253,1499393,Joel Coen,Etats-Unis,Comédie,2000-08-30,Tous publics,Bac Films,,,0,8,2,George Clooney,Holly Hunter
les incognitos,442565,1130584,,Etats-Unis,Animation,2019-12-25,Tous publics,20th Century Fox,,,0,7,4,,
the patriot - le chemin de la liberté,442823,1160975,Roland Emmerich,Etats-Unis,Aventure - Action,2000-07-12,Tous publics,Columbia,,,0,7,2,"Mel Gibson, Heath Ledger",
lolo,443169,906840,,France,Comédie,2015-10-28,Tous publics,Mars Distribution,,,0,5,3,"Dany Boon, Vincent Lacoste, Karin Viard",
sin city,430479,1261533,Robert Rodriguez,Etats-Unis,Comicbook,2005-06-01,Moins de 12 ans,Pan-Européenne,,,0,6,2,"Bruce Willis, Benicio Del Toro, Jessica Alba, Clive Owen","Mickey Rourke, Josh Hartnett"
azur et asmar,430753,1773341,Michel Ocelot,France,Animation,2006-10-25,Tous publics,Diaphana,,,0,8,2,,
tu veux ou tu veux pas,431620,1059794,Tonie Marshall,France,Comédie,2014-10-01,Tous publics,Warner Bros.,,,1,5,1,"Patrick Bruel, Sophie Marceau",
les schtroumpfs et le village perdu,431955,1798262,,Etats-Unis,Animation,2017-04-05,Tous publics,Sony Pictures,,,0,10,3,,
neuilly sa mère !,432722,2517140,,France,Comédie,2009-08-12,Tous publics,TFM Distribution,,,0,12,2,Denis Podalydès,"Josiane Balasko, Ramzy Bedia, François-Xavier Demaison, Valérie Lemercier"
star trek into darkness,433073,879931,J.J. Abrams,Etats-Unis,Science Fiction,2013-06-12,Tous publics,Paramount,,,1,5,1,"Chris Pine, Benedict Cumberbatch",Simon Pegg
planes,433188,1674843,,Etats-Unis,Animation,2013-10-09,Tous publics,Walt Disney Pictures,,,1,6,1,,
paddington 2,420344,1873918,,Grande-Bretagne,Film familial,2017-12-06,Tous publics,Studiocanal,,,0,7,3,,"Brendan Gleeson, Hugh Grant"
rebelles,422241,925503,,France,Comédie,2019-03-13,Tous publics,Le Pacte,,,0,5,2,"Cécile De France, Yolande Moreau",
the dictator,411656,877450,,Etats-Unis,Comédie,2012-06-20,Tous publics,20th Century Fox,,,0,5,3,"Sacha Baron Cohen, Anna Faris",
birds of prey et la fabuleuse histoire de harley quinn,412178,1047460,,Etats-Unis,Comicbook,2020-02-05,Moins de 12 ans,Warner Bros.,,,0,5,2,Margot Robbie,Ewan McGregor
le brio,412414,1114497,Yvan Attal,France,Comédie,2017-11-22,Tous publics,Pathé,,,0,5,2,Daniel Auteuil,
epic : la bataille du royaume secret,413571,1211919,Chris Wedge,Etats-Unis,Animation,2013-05-22,Tous publics,20th Century Fox,,,0,7,2,,
halloween (2018),413854,843769,,Etats-Unis,Horreur,2018-10-24,Moins de 12 ans,Universal,,,0,4,5,Jamie Lee Curtis,
"blueberry, l'expérience interdite",413940,765897,Jan Kounen,France,Western,2004-02-11,Tous publics,UFD,,,0,3,4,Vincent Cassel,
marie-antoinette,403555,1223207,Sofia Coppola,Etats-Unis,Drame,2006-05-24,Tous publics,Pathé,,,0,7,4,Kirsten Dunst,
halal police d'etat,403883,793296,,France,Comédie,2011-02-16,Tous publics,EuropaCorp,,,0,4,6,"Ramzy Bedia, Eric Judor",
amis publics,404366,758693,,France,Comédie,2016-02-17,Tous publics,La Belle Company,,,0,3,4,"Kev Adams, Vincent Elbaz",
le robot sauvage,395356,1812999,,Etats-Unis,Animation,2024-10-09,Tous publics,Universal,,,1,8,1,,
resident evil : afterlife 3d,404807,911560,Paul W.S. Anderson,Etats-Unis,Aventure - Action,2010-09-22,Tous publics,Metropolitan,,,0,6,2,Milla Jovovich,
juste la fin du monde,405031,1058503,Xavier Dolan,France,Drame,2016-09-21,Tous publics,Diaphana,,,1,5,1,"Nathalie Baye, Vincent Cassel, Marion Cotillard, Léa Seydoux, Gaspard Ulliel",
contagion,394179,686151,Steven Soderbergh,Etats-Unis,Aventure - Action,2011-11-09,Tous publics,Warner Bros.,,,0,3,3,"Marion Cotillard, Matt Damon, Laurence Fishburne, Jude Law","Bryan Cranston, Gwyneth Paltrow, Kate Winslet"
sex friends,395113,943569,Ivan Reitman,Etats-Unis,Romance,2011-02-16,Tous publics,Paramount,,,0,5,7,"Ashton Kutcher, Natalie Portman",Kevin Kline
bad teacher,397304,986216,,Etats-Unis,Comédie,2011-07-27,Tous publics,Sony Pictures,,,0,5,3,"Cameron Diaz, Jason Segel, Justin Timberlake",
tout ce qui brille,386771,1420183,,France,Comédie,2010-03-24,Tous publics,Pathé,,,0,9,5,"Leïla Bekhti, Géraldine Nakache","Virginie Ledoyen, Manu Payet"
paranormal activity 3,387586,807464,,Etats-Unis,Horreur,2011-10-19,Tous publics,Paramount,,,0,4,5,,
notre-dame brûle,388293,814706,Jean-Jacques Annaud,France,Drame,2022-03-16,Tous publics,Pathé,,,0,6,2,,
snoopy et les peanuts - le film,379429,829536,,Etats-Unis,Animation,2015-12-23,Tous publics,20th Century Fox,,,0,5,6,,
the flash,388700,855680,,Etats-Unis,Comicbook,2023-06-14,Tous publics,Warner Bros.,,,1,5,1,"Ben Affleck, Michael Keaton",Jeremy Irons
sexy dance 4,379617,1121544,,Etats-Unis,Musical,2012-08-08,Tous publics,Universal,,,0,6,3,,
jacquou le croquant,378651,936512,,France,Drame,2007-01-17,Tous publics,Pathé,,,1,4,1,"Gaspard Ulliel, Albert Dupontel",Oliver Gourmet
equalizer 3,378764,907220,Antoine Fuqua,Etats-Unis,Aventure - Action,2023-08-30,Moins de 12 ans,Sony Pictures,,,1,6,1,"Dakota Fanning, Denzel Washington",
cruella,379133,1454789,,Etats-Unis,Film familial,2021-06-23,Tous publics,Walt Disney Pictures,,,2,6,1,Emma Stone,Emma Thompson
la coccinelle revient,379298,1341823,,Etats-Unis,Film familial,2005-08-03,Tous publics,Walt Disney Pictures,,,0,6,3,,"Matt Dillon, Michael Keaton"
le pianiste,379604,1594548,Roman Polanski,France,Drame,2002-09-25,Tous publics,Bac Films,,,0,7,2,Adrien Brody,
austin powers dans goldmember,372429,695742,Jay Roach,Etats-Unis,Comédie,2002-10-23,Tous publics,Metropolitan,,,0,3,4,Mike Myers,Michael Caine
le rite,372683,824505,,Etats-Unis,Drame,2011-03-09,Moins de 12 ans,Warner Bros.,,,1,4,1,Anthony Hopkins,
le retour du héros,372856,816197,Laurent Tirard,France,Comédie,2018-02-14,Tous publics,Studiocanal,,,0,4,6,"Jean Dujardin, Mélanie Laurent",
quai d'orsay,372944,887846,Bertrand Tavernier,France,Comédie,2013-11-06,Tous publics,Pathé,,,0,5,3,"Niels Arestrup, Thierry Lhermitte",
nous york,373432,614302,,France,Comédie,2012-11-07,Tous publics,Pathé,,,0,3,3,"Leïla Bekhti, Géraldine Nakache, Manu Payet",
souris city,374153,1302832,,Etats-Unis,Animation,2006-11-29,Tous publics,UIP,,,0,7,3,,
le mexicain,374470,720928,Gore Verbinski,Etats-Unis,Aventure - Action,2001-04-25,Tous publics,UIP,,,0,6,2,"Julia Roberts, Brad Pitt",Gene Hackman
les sœurs fâchées,365125,1450584,,France,Comédie,2004-12-22,Tous publics,Pan-Européenne,,,0,7,3,"François Berléand, Catherine Frot, Isabelle Huppert",
argo,365701,1375884,Ben Affleck,Etats-Unis,Thriller,2012-11-07,Tous publics,Warner Bros.,,,0,10,3,"Ben Affleck, Bryan Cranston",John Goodman
mince alors!,365886,1446440,Charlotte De Turckheim,France,Comédie,2012-03-28,Tous publics,UGC Distribution,,,1,8,1,Victoria Abril,Pascal Legitimus
sexy dance 3d,355666,930843,Jon M. Chu,Etats-Unis,Musical,2010-08-18,Tous publics,Universal,,,0,6,4,,
jamais le premier soir,356555,804796,,France,Comédie,2014-01-01,Tous publics,EuropaCorp,,,0,5,6,Alexandra Lamy,Jean-Paul Rouve
7 ans de mariage,357255,1646043,,France,Comédie,2003-06-25,Tous publics,UFD,,,0,11,2,"Didier Bourdon, Catherine Frot",
hansel et gretel,357266,850027,,Etats-Unis,Fantasy,2013-03-06,Moins de 12 ans,Paramount,,,0,4,4,Jeremy Renner,Famke Janssen
marley & moi,357977,774570,,Etats-Unis,Comédie,2009-03-04,Tous publics,20th Century Fox,,,0,4,3,"Jennifer Aniston, Owen Wilson",
chicago,358350,1136750,Rob Marshall,Etats-Unis,Musical,2003-02-26,Tous publics,TFM Distribution,,,0,8,5,"Richard Gere, Renee Zellweger, Catherine Zeta Jones",- Queen Latifah
invisible man,349741,776426,,Etats-Unis,Thriller,2020-02-26,Moins de 12 ans,Universal,,,0,8,3,,
l'italien,358409,1111246,Olivier Baroux,France,Comédie,2010-07-14,Tous publics,Pathé,,,0,7,4,Kad Merad,
trésor,347912,655437,Claude Berri,France,Comédie,2009-11-11,Tous publics,Pathé,,,0,4,2,"Alain Chabat, Mathilde Seigner",Fanny Ardant
robocop (2014),348763,681869,,Etats-Unis,Science Fiction,2014-02-05,Tous publics,Studiocanal,,,1,3,1,,"Samuel L. Jackson, Michael Keaton, Gary Oldman"
american beauty,349269,3001844,Sam Mendes,Etats-Unis,Drame,2000-02-02,Tous publics,UIP,865.0,865.0,0,16,3,Kevin Spacey,
godzilla ii roi des monstres,342574,667899,,Etats-Unis,Science Fiction,2019-05-29,Tous publics,Warner Bros.,,,0,5,2,,
"albator, corsaire de l'espace",343181,724788,,Japon,Animation,2013-12-25,Tous publics,Océan Films,,,0,4,6,,
jackpot,349393,1050114,,Etats-Unis,Romance,2008-05-07,Tous publics,20th Century Fox,,,0,7,2,"Cameron Diaz, Ashton Kutcher, - Queen Latifah",Zach Galifianakis
hitman: agent 47,343418,658173,,Etats-Unis,Aventure - Action,2015-08-26,Moins de 12 ans,20th Century Fox,,,0,4,2,,
jeux d'enfants,341667,1098398,,France,Comédie,2003-09-17,Tous publics,Mars Distribution,,,1,5,1,"Guillaume Canet, Marion Cotillard",Gilles Lellouche
incontrôlable,341685,747611,,France,Comédie,2006-02-08,Tous publics,Pathé,,,0,2,3,Michael Youn,"Thierry Lhermitte, Patrick Timsit"
molière,341820,1242083,Laurent Tirard,France,Comédie,2007-01-31,Tous publics,Wild Bunch,,,0,4,2,"Romain Duris, Fabrice Luchini, Ludivine Sagnier",Edouard Baer
go fast,342150,730680,,France,Aventure - Action,2008-10-01,Tous publics,EuropaCorp,,,0,3,2,"Oliver Gourmet, Roschdy Zem",
saw 3d,337425,568607,,Etats-Unis,Horreur,2010-11-10,Moins de 16 ans,Metropolitan,,,0,4,5,,
elvis (2022),343596,1204686,Baz Luhrmann,Etats-Unis,Musical,2022-06-22,Tous publics,Warner Bros.,,,0,9,4,Tom Hanks,Maggie Gyllenhaal
red 2,336533,633385,,Etats-Unis,Aventure - Action,2013-08-28,Tous publics,SND,,,1,4,1,"John Malkovich, Bruce Willis","Anthony Hopkins, Helen Mirren, Catherine Zeta Jones"
john wick parabellum,336599,842313,,Etats-Unis,Aventure - Action,2019-05-22,Moins de 12 ans,Metropolitan,,,0,6,2,Keanu Reeves,"Halle Berry, Laurence Fishburne"
the king's man : première mission,336793,923786,Matthew Vaughn,Grande-Bretagne,Aventure - Action,2021-12-29,Tous publics,Walt Disney Pictures,,,0,6,3,Ralph Fiennes,
men in black: international,336892,967040,F. Gary Gray,Etats-Unis,Fantasy,2019-06-12,Tous publics,Sony Pictures,,,2,6,1,"Chris Hemsworth, Liam Neeson",Emma Thompson
les vieux fourneaux,337139,939040,,France,Comédie,2018-08-22,Tous publics,Gaumont,,,0,6,3,Pierre Richard,Alice Pol
pacific rim uprising,331767,629557,,Etats-Unis,Science Fiction,2018-03-21,Tous publics,Universal,,,0,4,3,,
chasse gardée,329408,1924712,,France,Comédie,2023-12-20,Tous publics,UGC Distribution,,,0,8,2,Didier Bourdon,Thierry Lhermitte
mission g,329768,1410903,,Etats-Unis,Film familial,2009-10-14,Tous publics,Walt Disney Pictures,,,0,6,2,,Zach Galifianakis
prémonitions,329959,975965,,Etats-Unis,Thriller,2015-09-09,Tous publics,SND,,,1,6,1,"Colin Farrell, Anthony Hopkins",
un monstre à paris,330502,1724560,,France,Animation,2011-10-12,Tous publics,EuropaCorp,,,0,7,2,,
sage femme,331215,700106,,France,Comédie dramatique,2017-03-22,Tous publics,Memento Films,,,0,5,2,"Catherine Deneuve, Catherine Frot, Oliver Gourmet",
scoop,331714,810748,Woody Allen,Etats-Unis,Comédie dramatique,2006-11-01,Tous publics,TFM Distribution,,,0,3,4,"Hugh Jackman, Scarlett Johansson",
red sparrow,331963,827602,Francis Lawrence,Etats-Unis,Thriller,2018-04-04,Moins de 12 ans,20th Century Fox,,,0,5,3,Jennifer Lawrence,"Jeremy Irons, Charlotte Rampling, Matthias Schoenaerts"
contre-enquête,323499,960119,,France,Thriller,2007-03-07,Tous publics,Pathé,,,0,3,3,Jean Dujardin,
the ghost writer,323969,1081016,Roman Polanski,France,Thriller,2010-03-03,Tous publics,Pathé,,,0,7,2,"Pierce Brosnan, Ewan McGregor",
walkyrie,324090,702175,Bryan Singer,Etats-Unis,Thriller,2009-01-28,Tous publics,TFM Distribution,,,1,4,1,Tom Cruise,Kenneth Branagh
"les municipaux, ces héros",319011,588783,,France,Comédie,2018-04-25,Tous publics,Apollo Films,,,0,5,4,,
l'hermine,324441,1002591,,France,Comédie dramatique,2015-11-18,Tous publics,Gaumont,,,0,5,3,Fabrice Luchini,
le royaume de ga'hoole - la légende des gardiens,324593,551610,Zack Snyder,Etats-Unis,Fantasy,2010-10-27,Tous publics,Warner Bros.,,,0,3,5,,
réussir ou mourir,317867,690512,Jim Sheridan,Etats-Unis,Drame,2006-02-22,Moins de 12 ans,UIP,,,0,2,5,,Viola Davis
les mondes de ralph,318656,1652667,,Etats-Unis,Animation,2012-12-05,Tous publics,Walt Disney Pictures,,,0,10,2,,
rush hour 3,318681,839123,Brett Ratner,Etats-Unis,Comédie,2007-10-17,Tous publics,Metropolitan,,,1,3,1,"Chris Tucker, Jackie Chan",Yvan Attal
ocean's 8,318773,901037,,Etats-Unis,Aventure - Action,2018-06-13,Tous publics,Warner Bros.,,,0,6,2,"Cate Blanchett, Sandra Bullock, Anne Hathaway","Helena Bonham Carter, Dakota Fanning"
la loi et l'ordre,319385,675323,Jon Avnet,Etats-Unis,Thriller,2008-10-08,Tous publics,Metropolitan,,,0,3,2,"Robert De Niro, Al Pacino",
very bad cops,319447,542527,,Etats-Unis,Comédie,2010-10-27,Tous publics,Sony Pictures,,,0,3,6,"Will Ferrell, Mark Wahlberg","Dwayne Johnson, Anne Heche, Samuel L. Jackson, Michael Keaton, Eva Mendes"
dracula untold,313301,633792,,Etats-Unis,Fantasy,2014-10-01,Tous publics,Universal,,,0,3,3,Luke Evans,
donne-moi des ailes,313479,1437724,Nicolas Vanier,France,Aventure - Action,2019-10-09,Tous publics,SND,,,0,9,2,Jean-Paul Rouve,
madame irma,313999,601874,,France,Comédie,2006-12-06,Tous publics,Mars Distribution,,,0,2,4,"Didier Bourdon, Pascal Legitimus",
les promesses de l'ombre,309843,801652,David Cronenberg,Etats-Unis,Thriller,2007-11-07,Moins de 12 ans,Metropolitan,,,1,3,1,"Viggo Mortensen, Naomi Watts",Vincent Cassel
nos pires voisins,309858,723290,,Etats-Unis,Comédie,2014-08-06,Tous publics,Universal,,,0,5,3,"Rose Byrne, Zac Efron, Seth Rogen",
mystic river,310512,1166008,Clint Eastwood,Etats-Unis,Drame,2003-10-15,Tous publics,Warner Bros.,,,0,7,3,"Kevin Bacon, Sean Penn, Tim Robbins",Laurence Fishburne
la tresse,306073,1256704,,France,Comédie dramatique,2023-11-29,Tous publics,SND,,,0,8,3,,
blanche neige,310673,817797,,Etats-Unis,Fantasy,2012-04-11,Tous publics,Metropolitan,,,0,5,4,Julia Roberts,
le cercle - the ring 2,310690,766922,,Etats-Unis,Horreur,2005-03-30,Moins de 12 ans,UIP,,,0,4,2,Naomi Watts,
ce que pensent les hommes,310809,655528,,Etats-Unis,Romance,2009-02-11,Tous publics,Metropolitan,,,0,3,4,"Ben Affleck, Jennifer Aniston, Drew Barrymore, Scarlett Johansson","Jennifer Connelly, Bradley Cooper"
la fille de monaco,305632,708613,Anne Fontaine,France,Comédie dramatique,2008-08-20,Tous publics,Warner Bros.,,,0,4,4,"Louise Bourgoin, Fabrice Luchini, Roschdy Zem",
gangster squad,305704,674153,,Etats-Unis,Thriller,2013-02-06,Moins de 12 ans,Warner Bros.,,,0,4,2,"Josh Brolin, Ryan Gosling, Sean Penn","Nick Nolte, Emma Stone"
le parfum : histoire d'un meurtrier,305743,916749,,Allemagne,Drame,2006-10-04,Tous publics,Metropolitan,,,0,5,3,Alan Rickman,Dustin Hoffman
mamma mia 2: here we go again!,305753,735883,,Etats-Unis,Musical,2018-07-25,Tous publics,Universal,,,0,5,4,"Pierce Brosnan, Colin Firth","Andy Garcia, Meryl Streep"
paul,301620,728947,,Grande-Bretagne,Comédie,2011-03-02,Tous publics,Universal,,,0,4,6,"Jason Bateman, Simon Pegg","Sigourney Weaver, Kristen Wiig"
couleurs de l'incendie,302030,742080,,France,Drame,2022-11-09,Tous publics,Gaumont,,,0,5,2,"Léa Drucker, Benoît Poelvoorde","Fanny Ardant, Clovis Cornillac, Oliver Gourmet"
v pour vendetta,302104,634933,,Etats-Unis,Comicbook,2006-04-19,Tous publics,Warner Bros.,,,0,2,5,Natalie Portman,
deux jours à tuer,302315,1088611,Jean Becker,France,Drame,2008-04-30,Tous publics,Studiocanal,,,0,8,2,Albert Dupontel,
resident evil: extinction,302319,581802,,Etats-Unis,Aventure - Action,2007-10-03,Moins de 12 ans,Metropolitan,,,0,3,2,Milla Jovovich,
ole!,302401,655144,,France,Comédie,2005-12-07,Tous publics,ARP Selection,,,0,4,4,"Gérard Depardieu, Gad Elmaleh",Sabine Azéma
l'antidote,302414,766921,,France,Comédie,2005-03-30,Tous publics,Warner Bros.,,,0,4,3,"Christian Clavier, Jacques Villeret","Alexandra Lamy, Thierry Lhermitte"
les morsures de l'aube,296678,436965,Antoine De Caunes,France,Fantasy,2001-03-21,Moins de 12 ans,Bac Films,,,0,2,5,"Gérard Lanvin, Guillaume Canet","José Garcia, Vincent Perez"
3 amis,296947,683772,,France,Comédie,2007-08-22,Tous publics,Gaumont,,,0,4,2,"Pascal Elbé, Kad Merad, Mathilde Seigner",Philippe Noiret
retour à zombieland,296972,582068,,Etats-Unis,Aventure - Action,2019-10-30,Tous publics,Sony Pictures,,,0,4,5,"Jesse Eisenberg, Woody Harrelson, Emma Stone","Dan Aykroyd, Bill Murray, Luke Wilson"
the imitation game,297339,1073025,,Etats-Unis,Comédie dramatique,2015-01-28,Tous publics,Studiocanal,,,0,7,3,"Benedict Cumberbatch, Keira Knightley",
brillantissime,297436,621586,,France,Comédie,2018-01-17,Tous publics,Studiocanal,,,1,4,1,Kad Merad,"Pascal Elbé, Michèle Laroque, Michael Youn"
kick ass,291506,794238,Matthew Vaughn,Etats-Unis,Comicbook,2010-04-21,Tous publics,Metropolitan,,,0,5,3,,"Nicolas Cage, Chloë Grace Moretz"
opération casse-noisette,291619,1192627,,Etats-Unis,Animation,2014-08-06,Tous publics,SND,,,0,10,4,,
boîte noire,292081,1183191,,France,Thriller,2021-09-08,Tous publics,Studiocanal,,,0,8,2,Pierre Niney,André Dussollier
yes man,292244,741742,,Etats-Unis,Comédie,2009-01-21,Tous publics,Warner Bros.,,,0,4,3,Jim Carrey,Bradley Cooper
wall street : l'argent ne dort jamais,292351,572417,Oliver Stone,Etats-Unis,Thriller,2010-09-29,Tous publics,20th Century Fox,,,0,4,2,"Shia LaBeouf, Michael Douglas","Josh Brolin, Susan Sarandon"
la cage dorée,288750,1232519,,France,Comédie,2013-04-24,Tous publics,Pathé,,,0,8,5,,
tellement proches,292387,796719,. Nakache & Toledano,France,Comédie,2009-06-17,Tous publics,Mars Distribution,,,1,6,1,"Isabelle Carré, François-Xavier Demaison, Vincent Elbaz",Omar Sy
into the wild,292739,1448136,Sean Penn,Etats-Unis,Aventure - Action,2008-01-09,Tous publics,Pathé,,,1,5,1,,"Kristen Stewart, Vince Vaughn"
loup,292851,1191092,Nicolas Vanier,France,Aventure - Action,2009-12-09,Tous publics,Pathé,,,0,7,3,,
freddy - les griffes de la nuit (2010),292939,469312,,Etats-Unis,Horreur,2010-05-12,Moins de 12 ans,Warner Bros.,,,0,4,5,Rooney Mara,
l'invité,288146,653664,,France,Comédie,2007-09-19,Tous publics,EuropaCorp,,,0,3,2,"Daniel Auteuil, Valérie Lemercier, Thierry Lhermitte",
